75987,00:00.0,826,26041.984
75987,03:41.3,826,45138.36
75987,05:19.8,826,26041.984
75987,23:43.9,826,45138.36
75987,29:14.0,826,64235.688
75987,34:17.5,826,45138.36
75987,36:01.8,826,26041.984
75987,48:16.1,826,45138.36
75987,50:03.1,826,26041.984
75987,07:56.1,826,45138.36
75987,21:23.6,826,26041.984
75987,37:56.6,826,45138.36
75987,54:07.2,826,6944.6562
75987,57:09.5,826,26041.984
75987,14:26.0,826,45138.36
75987,29:56.5,826,6944.6562
75987,33:18.1,826,26041.984
75987,08:00.4,826,45138.36
75987,14:17.0,826,64235.688
75987,18:46.6,826,45138.36
75987,24:42.0,826,26041.984
75987,32:57.9,826,45138.36
75987,59:53.8,826,26041.984
75987,08:12.2,826,45138.36
75987,18:44.9,826,6944.6562
75987,19:52.2,826,26041.984
75987,43:01.9,826,45138.36
75987,51:34.6,826,26041.984
75987,39:41.3,826,45138.36
75987,41:29.0,826,26041.984
75987,48:08.6,826,45138.36
75987,55:41.1,826,26041.984
75987,37:58.5,826,45138.36
75987,04:34.7,826,64235.688
75987,08:07.1,826,45138.36
75987,14:25.6,826,26041.984
75987,23:28.0,826,45138.36
75987,37:17.9,826,26041.984
75987,43:29.1,826,45138.36
75987,49:30.6,826,26041.984
75987,58:06.5,826,45138.36
75987,09:29.0,826,26041.984
75987,14:25.6,826,6944.6562
75987,17:42.9,826,26041.984
75987,38:02.4,826,45138.36
75987,44:46.9,826,64235.688
75987,49:46.4,826,45138.36
75987,51:37.9,826,26041.984
75987,08:00.1,826,45138.36
75987,32:27.0,826,26041.984
75987,38:39.0,826,45138.36
75987,47:00.9,826,26041.984
75987,18:03.7,826,45138.36
75987,24:44.2,826,26041.984
75987,27:39.1,826,45138.36
75987,36:38.1,826,26041.984
75987,39:51.9,826,64235.688
75987,42:54.9,826,26041.984
75987,59:11.3,826,45138.36
75987,04:03.7,826,6944.6562
75987,06:59.8,826,26041.984
75987,27:19.5,826,45138.36
75987,39:39.6,826,26041.984
75987,43:20.0,826,45138.36
75987,04:17.2,826,64235.688
75987,07:35.1,826,26041.984
75987,12:20.6,826,45138.36
75987,33:00.2,826,26041.984
75987,56:50.6,826,45138.36
75987,22:53.5,826,26041.984
75987,39:25.0,826,45138.36
75987,42:50.7,826,26041.984
75987,06:40.8,826,45138.36
75987,43:15.8,826,26041.984
75987,59:38.6,826,6944.6562
75987,03:37.5,826,26041.984
75987,05:36.3,826,45138.36
75987,33:04.7,826,26041.984
75987,38:41.2,826,45138.36
75987,53:07.3,826,26041.984
75987,56:17.0,826,45138.36
75987,42:55.0,826,26041.984
75987,48:29.6,826,45138.36
75987,07:51.9,826,26041.984
75987,14:18.5,826,45138.36
75987,27:06.2,826,26041.984
75987,49:44.5,826,45138.36
75987,52:15.1,826,26041.984
75987,58:37.2,826,45138.36
75987,04:06.8,826,26041.984
75987,12:06.4,826,45138.36
75987,34:45.3,826,64235.688
75987,39:00.5,826,26041.984
75987,52:15.4,826,45138.36
75987,03:23.8,826,26041.984
75987,38:34.7,826,45138.36
75987,14:03.8,826,6944.6562
75987,17:02.9,826,26041.984
75987,39:27.5,826,6944.6562
75987,42:20.7,826,26041.984
75987,59:07.1,826,45138.36
75987,01:09.2,826,26041.984
75987,38:32.9,826,45138.36
75987,46:27.5,826,26041.984
75987,03:24.2,826,45138.36
75987,37:16.8,826,26041.984
75987,49:37.3,826,45138.36
75987,52:30.6,826,26041.984
75987,58:00.0,826,26041.984
75987,00:00.0,826,26041.984
